MG,YE,MK,MP,HP,Classid,Childid
91,32,0.22,2.5,10.1,149,589
48,5,1.97,2,13.7,259,590
29,5,1.97,2,13.7,259,591
31,5,1.97,2,13.7,259,592
60,5,1.97,2,13.7,259,593
54,5,1.97,2,13.7,259,594
23,5,1.97,2,13.7,259,595
5,5,1.97,2,13.7,259,596
32,5,1.97,2,13.7,259,597
16,2,1.61,2,13.7,301,598
64,2,1.61,2,13.7,301,599
20,20,-0.19,2.5,6.5,24,600
6,24,-0.27,2.25,6.5,35,601
55,24,-0.27,2.25,6.5,35,602
113,24,-0.27,2.25,6.5,35,603
67,24,-0.27,2.25,6.5,35,604
62,2,-0.76,4,6.5,117,605
59,2,-0.76,4,6.5,117,606
46,2,-0.76,4,6.5,117,607
36,2,-0.76,4,6.5,117,608
18,2,-0.76,4,6.5,117,609
54,2,-0.76,4,6.5,117,610
76,2,-0.76,4,6.5,117,611
84,2,-0.76,4,6.5,117,612
-4,13,0.85,2.75,4,3,613
18,13,0.85,2.75,4,3,614
33,13,0.85,2.75,4,3,615
122,13,0.24,3,4,168,616
53,13,0.24,3,4,168,617
77,13,0.24,3,4,168,618
26,13,0.24,3,4,168,619
55,13,0.24,3,4,168,620
85,13,0.24,3,4,168,621
56,13,0.24,3,4,168,622
89,33,-0.26,3,28.9,36,623
132,9,0.65,3.5,28.9,40,624
127,9,0.65,3.5,28.9,40,625
22,9,0.65,3.5,28.9,40,626
69,19,0.57,2.5,28.9,171,627
39,22,-0.41,3,28.9,250,628
52,22,-0.41,3,28.9,250,629
34,1,0.89,2.5,28.9,272,630
6,5,-1.28,1.5,36.2,34,636
41,8,0.02,1,36.2,108,637
54,8,0.02,1,36.2,108,638
79,8,0.02,1,36.2,108,639
102,5,0.47,1,24.3,121,640
122,5,0.47,1,24.3,121,641
72,5,0.47,1,24.3,121,642
36,5,0.47,1,24.3,121,643
118,5,0.47,1,24.3,121,644
79,5,0.47,1,24.3,121,645
59,5,-1.43,2,24.3,242,646
78,5,-1.43,2,24.3,242,647
74,5,-1.43,2,24.3,242,648
79,5,-1.43,2,24.3,242,649
24,5,-1.43,2,24.3,242,650
23,5,-1.43,2,24.3,242,651
94,5,-1.43,2,24.3,242,652
35,2,-0.72,2.5,33.5,1,653
109,2,-0.72,2.5,33.5,1,654
66,2,-0.72,2.5,33.5,1,655
19,2,-0.72,2.5,33.5,1,656
10,2,-0.72,2.5,33.5,1,657
52,1,-0.72,2,33.5,124,658
15,0,0.89,2,33.5,192,659
37,0,0.89,2,33.5,192,660
22,4,0.84,4.25,33.5,267,661
50,4,0.84,4.25,33.5,267,662
62,4,0.84,4.25,33.5,267,663
-84,13,0.89,2.74,17,22,664
179,13,0.89,2.74,17,22,665
11,13,0.89,2.74,17,22,666
65,13,0.89,2.74,17,22,667
78,13,0.89,2.74,17,22,668
41,13,0.89,2.74,17,22,669
55,13,0.89,2.74,17,22,670
57,13,0.89,2.74,17,22,671
37,32,0.89,2.3,17,46,672
61,32,0.89,2.3,17,46,673
23,32,0.89,2.3,17,46,674
112,32,0.89,2.3,17,46,675
67,32,0.89,2.3,17,46,676
17,24,0.96,2,7.2,310,677
84,24,0.96,2,7.2,310,678
64,24,0.96,2,7.2,310,679
76,8,-0.42,3.5,18,38,680
77,8,-0.42,3.5,18,38,681
49,8,-0.42,3.5,18,38,682
79,8,-0.42,3.5,18,38,683
97,8,-0.42,3.5,18,38,684
40,8,-0.42,3.5,18,38,685
67,8,-0.42,3.5,18,38,686
32,4,-0.51,2,18,294,687
95,4,-0.51,2,18,294,688
62,4,-0.51,2,18,294,689
17,40,-1.36,5,5,95,690
25,40,-1.36,5,5,95,691
52,3,0.89,2.5,5,128,692
88,3,0.89,2.5,5,128,693
76,3,0.89,2.5,5,128,694
69,3,0.89,2.5,5,128,695
23,2,-1.07,3.75,5,284,696
65,2,-1.07,3.75,5,284,697
92,2,-1.07,3.75,5,284,698
64,29,-0.54,2.17,50.9,91,699
56,29,-0.54,2.17,50.9,91,700
84,29,-0.54,2.17,50.9,91,701
53,29,-0.54,2.17,50.9,91,702
61,16,0,2.75,50.9,218,703
38,16,0,2.75,50.9,218,704
57,29,0.75,3,50.9,269,705
66,29,0.75,3,50.9,269,706
102,5,1.08,5.33,33.9,4,707
86,5,1.08,5.33,33.9,4,708
66,5,1.08,5.33,33.9,4,709
106,5,1.08,5.33,33.9,4,710
79,5,1.08,5.33,33.9,4,711
110,5,1.08,5.33,33.9,4,712
107,17,-1.02,3.5,33.9,73,713
55,17,-1.02,3.5,33.9,73,714
82,17,-1.02,3.5,33.9,73,715
32,18,-0.66,1,33.9,245,716
57,18,-0.66,1,33.9,245,717
79,18,-0.66,1,33.9,245,718
36,23,0.04,1.5,20.9,57,719
44,23,0.04,1.5,20.9,57,720
39,23,0.04,1.5,20.9,57,721
86,23,0.04,1.5,20.9,57,722
214,16,-0.07,6,20.9,244,723
75,7,-0.75,2,20.9,263,724
29,7,-0.75,2,20.9,263,725
71,7,-0.75,2,20.9,263,726
29,23,-1.06,3.17,20.9,271,727
91,23,-1.06,3.17,20.9,271,728
93,23,-1.06,3.17,20.9,271,729
128,26,-0.71,1.67,20.9,298,730
52,26,-0.71,1.67,20.9,298,731
59,26,-0.71,1.67,20.9,298,732
79,26,-0.71,1.67,20.9,298,733
123,26,-0.71,1.67,20.9,298,734
107,0,-0.52,2,52.3,90,735
66,0,-0.52,2,52.3,90,736
83,6,-0.72,2,52.3,290,737
45,6,-0.72,2,52.3,290,738
22,6,-0.72,2,52.3,290,739
96,3,-1.28,2,43,83,740
45,3,-1.28,2,43,83,741
53,3,-1.28,2,43,83,742
68,3,-1.28,2,43,83,743
107,3,-1.28,2,43,83,744
108,3,-1.28,2,43,83,745
117,3,-1.28,2,43,83,746
62,5,1.15,2.33,43,146,747
145,5,1.15,2.33,43,146,748
63,5,1.15,2.33,43,146,749
45,6,-0.3,3.25,43,152,750
36,6,-0.3,3.25,43,152,751
69,6,-0.3,3.25,43,152,752
66,6,-0.3,3.25,43,152,753
218,6,-0.3,3.25,43,152,754
54,6,-0.3,3.25,43,152,755
68,0,0.12,2.5,43,261,756
81,3,-1.22,4.5,43,311,757
32,3,-1.22,4.5,43,311,758
45,8,1.24,2.5,8.5,80,759
95,8,1.24,2.5,8.5,80,760
24,8,1.24,2.5,8.5,80,761
10,8,1.24,2.5,8.5,80,762
68,8,1.24,2.5,8.5,80,763
60,8,1.24,2.5,8.5,80,764
82,31,0.45,2,8.5,120,765
80,31,0.45,2,8.5,120,766
104,31,0.45,2,8.5,120,767
85,31,0.45,2,8.5,120,768
35,31,0.45,2,8.5,120,769
54,31,0.45,2,8.5,120,770
39,31,0.45,2,8.5,120,771
50,31,0.45,2,8.5,120,772
70,3,0.51,3,8.5,209,773
80,3,0.51,3,8.5,209,774
34,5,1.25,1.83,8.5,264,775
49,5,1.25,1.83,8.5,264,776
1,5,1.25,1.83,8.5,264,777
43,5,1.25,1.83,8.5,264,778
2,5,1.25,1.83,8.5,264,779
55,5,1.25,1.83,8.5,264,780
78,5,1.25,1.83,8.5,264,781
63,10,-0.01,3.83,8.5,304,782
10,10,-0.01,3.83,8.5,304,783
72,10,-0.01,3.83,8.5,304,784
29,10,-0.01,3.83,8.5,304,785
77,19,0.12,2.5,24.9,29,786
88,19,0.12,2.5,24.9,29,787
20,19,0.12,2.5,24.9,29,788
28,26,-0.67,3,24.9,148,789
51,26,-0.67,3,24.9,148,790
47,26,-0.67,3,24.9,148,791
37,26,-0.67,3,24.9,148,792
113,4,-0.38,2,24.9,243,793
16,4,-0.38,2,24.9,243,794
53,4,-0.38,2,24.9,243,795
28,4,-0.38,2,24.9,243,796
70,16,1.62,2.5,11.7,213,797
44,16,1.62,2.5,11.7,213,798
28,16,1.62,2.5,11.7,213,799
118,34,-1.64,3,20.2,232,807
-2,34,-1.64,3,20.2,232,808
59,34,-0.03,3.83,20.2,295,809
60,6,-1.46,1.83,36.7,39,810
66,6,-1.46,1.83,36.7,39,811
147,2,-0.19,2.5,36.7,42,812
106,2,-0.19,2.5,36.7,42,813
36,2,-0.19,2.5,36.7,42,814
53,2,-0.19,2.5,36.7,42,815
57,2,-0.19,2.5,36.7,42,816
97,2,-0.19,2.5,36.7,42,817
58,2,-0.19,2.5,36.7,42,818
116,2,-0.19,2.5,36.7,42,819
80,2,-0.19,2.5,36.7,42,820
58,2,-0.19,2.5,36.7,42,821
19,2,0.06,2,36.7,154,822
110,2,0.06,2,36.7,154,823
78,1,-0.27,2,36.7,181,824
23,8,0.41,3,16.1,8,825
58,8,0.41,3,16.1,8,826
25,8,0.41,3,16.1,8,827
-15,8,0.41,3,16.1,8,828
46,21,2.14,2.3,16.1,28,829
152,21,2.14,2.3,16.1,28,830
62,21,2.14,2.3,16.1,28,831
19,21,2.14,2.3,16.1,28,832
13,21,2.14,2.3,16.1,28,833
38,29,0.85,2.33,16.1,136,834
58,29,0.85,2.33,16.1,136,835
-10,29,0.85,2.33,16.1,136,836
61,29,0.85,2.33,16.1,136,837
56,29,0.85,2.33,16.1,136,838
69,29,0.85,2.33,16.1,136,839
73,13,0.89,2.3,16.1,277,840
-3,13,0.89,2.3,16.1,277,841
25,13,0.89,2.3,16.1,277,842
33,13,0.89,2.3,16.1,277,843
19,13,0.89,2.3,16.1,277,844
60,13,0.89,2.3,16.1,277,845
35,13,0.89,2.3,16.1,277,846
50,5,2.61,3.25,16.1,287,847
59,5,2.61,3.25,16.1,287,848
46,5,2.61,3.25,16.1,287,849
61,5,2.61,3.25,16.1,287,850
75,5,2.61,3.25,16.1,287,851
59,7,-0.75,1,4.1,27,852
60,7,-0.75,1,4.1,27,853
72,7,-0.75,1,4.1,27,854
17,7,-0.75,1,4.1,27,855
52,7,-0.75,1,4.1,27,856
52,7,-0.75,1,4.1,27,857
57,29,-0.47,5,4.1,189,863
28,29,-0.47,5,4.1,189,864
101,29,-0.47,5,4.1,189,865
44,29,-0.47,5,4.1,189,866
27,29,-0.47,5,4.1,189,867
64,29,-0.47,5,4.1,189,868
65,29,-0.47,5,4.1,189,869
49,29,-0.47,5,4.1,189,870
67,29,-0.47,5,4.1,189,871
33,5,-0.66,2.25,4.1,305,872
31,5,-0.66,2.25,4.1,305,873
81,5,-0.66,2.25,4.1,305,874
57,5,-0.66,2.25,4.1,305,875
56,13,0.62,2,40.7,13,876
12,13,0.62,2,40.7,13,877
49,13,0.62,2,40.7,13,878
24,13,0.62,2,40.7,13,879
75,13,0.62,2,40.7,13,880
25,13,0.62,2,40.7,13,881
77,13,0.62,2,40.7,13,882
6,13,0.62,2,40.7,13,883
26,13,0.62,2,40.7,13,884
40,0,-0.52,2,40.7,183,888
11,0,-0.52,2,40.7,183,889
2,0,-0.52,2,40.7,183,890
50,4,0.12,2,35.1,23,891
43,2,-1.56,2,35.1,112,892
74,2,-1.56,2,35.1,112,893
31,2,-1.28,2.5,35.1,253,894
87,2,-1.28,2.5,35.1,253,895
24,2,-1.28,2.5,35.1,253,896
139,2,-1.28,2.5,35.1,253,897
49,2,-1.28,2.5,35.1,253,898
24,2,-1.28,2.5,35.1,253,899
96,2,-1.28,2.5,35.1,253,900
55,2,-1.28,2.5,35.1,253,901
92,2,-1.28,2.5,35.1,253,902
110,9,-1.04,2.42,19,222,903
73,9,-1.04,2.42,19,222,904
69,9,-1.04,2.42,19,222,905
101,9,-1.04,2.42,19,222,906
52,13,0.96,4,19,308,907
74,13,0.96,4,19,308,908
43,13,0.96,4,19,308,909
74,11,1.96,2.5,21,116,910
102,11,1.96,2.5,21,116,911
90,11,1.75,2,21,174,912
74,11,1.75,2,21,174,913
44,11,1.75,2,21,174,914
53,11,1.75,2,21,174,915
66,11,1.75,2,21,174,916
40,11,1.75,2,21,174,917
48,11,1.75,2,21,174,918
80,20,1.95,2.25,10.3,169,924
109,20,1.95,2.25,10.3,169,925
86,20,1.95,2.25,10.3,169,926
26,20,1.95,2.25,10.3,169,927
51,20,1.95,2.25,10.3,169,928
48,20,1.95,2.25,10.3,169,929
46,1,0.89,2.25,10.3,184,930
49,1,0.89,2.25,10.3,184,931
55,1,0.89,2.25,10.3,184,932
39,1,0.89,2.25,10.3,184,933
36,1,0.89,2.25,10.3,184,934
30,3,-1.12,2.5,10.3,225,935
66,3,-1.12,2.5,10.3,225,936
74,3,-1.12,2.5,10.3,225,937
55,11,1.5,6,14.1,165,938
77,11,1.5,6,14.1,165,939
93,11,1.5,6,14.1,165,940
60,11,1.5,6,14.1,165,941
40,11,1.5,6,14.1,165,942
76,11,1.5,6,14.1,165,943
22,10,-0.35,3.5,14.1,235,944
10,10,-0.35,3.5,14.1,235,945
74,10,-0.35,3.5,14.1,235,946
45,10,-0.35,3.5,14.1,235,947
67,10,-0.35,3.5,14.1,235,948
54,10,-0.35,3.5,14.1,235,949
86,2,-1.89,2,25.5,76,950
60,2,-1.89,2,25.5,76,951
96,2,-1.89,2,25.5,76,952
58,2,-1.89,2,25.5,76,953
108,1,-0.69,1.5,25.5,161,960
28,1,-0.69,1.5,25.5,161,961
88,1,-0.69,1.5,25.5,161,962
96,1,-0.69,1.5,25.5,161,963
29,28,1.44,2.17,10.7,66,964
-13,28,1.44,2.17,10.7,66,965
66,28,1.44,2.17,10.7,66,966
25,28,1.44,2.17,10.7,66,967
44,28,1.44,2.17,10.7,66,968
79,28,1.44,2.17,10.7,66,969
65,23,-0.52,4,10.7,84,970
-4,1,0.28,2.75,10.7,186,975
17,1,0.28,2.75,10.7,186,976
55,1,0.28,2.75,10.7,186,977
-10,1,0.28,2.75,10.7,186,978
136,1,0.28,2.75,10.7,186,979
30,1,0.28,2.75,10.7,186,980
133,16,-0.27,2,10.7,196,981
96,16,-0.27,2,10.7,196,982
58,16,-0.27,2,10.7,196,983
20,16,1.5,3.25,53.7,65,984
-28,2,0,2.5,53.7,132,985
63,2,0,2.5,53.7,132,986
41,2,0,2.5,53.7,132,987
52,9,-1.21,2.5,53.7,275,988
42,9,-1.21,2.5,53.7,275,989
51,9,-1.21,2.5,53.7,275,990
67,1,0.19,4,30.6,21,991
42,1,0.19,4,30.6,21,992
35,1,0.19,4,30.6,21,993
52,1,0.19,4,30.6,21,994
17,1,-0.23,2,30.6,72,995
57,1,-0.23,2,30.6,72,996
63,1,-0.23,2,30.6,72,997
2,21,-0.4,1.5,30.6,106,998
46,21,-0.4,1.5,30.6,106,999
77,4,-1.2,4.5,30.6,187,1000
2,8,-0.64,2,54.6,67,1001
40,8,-0.64,2,54.6,67,1002
18,5,-1.37,2,54.6,312,1003
52,5,-1.37,2,54.6,312,1004
69,5,-1.37,2,54.6,312,1005
51,5,-1.37,2,54.6,312,1006
39,1,-0.73,1,9.2,292,1007
11,1,-0.73,1,9.2,292,1008
80,1,-0.73,1,9.2,292,1009
69,1,-0.73,1,9.2,292,1010
34,13,-0.09,2,25.9,52,1011
-13,13,-0.09,2,25.9,52,1012
130,27,0.96,4,25.9,238,1013
32,10,-0.76,1,4.7,45,1015
39,10,-0.76,1,4.7,45,1016
30,10,-0.76,1,4.7,45,1017
39,10,-0.76,1,4.7,45,1018
-18,10,-0.76,1,4.7,45,1019
102,10,-0.64,1.25,4.7,151,1020
53,10,-0.64,1.25,4.7,151,1021
42,9,-0.14,1,4.7,231,1022
85,9,-0.14,1,4.7,231,1023
70,9,-0.14,1,4.7,231,1024
43,9,-0.14,1,4.7,231,1025
46,9,-0.14,1,4.7,231,1026
54,9,-0.14,1,4.7,231,1027
66,9,-0.14,1,4.7,231,1028
58,9,-0.14,1,4.7,231,1029
48,3,0.1,2.5,11.4,173,1030
60,3,0.1,2.5,11.4,173,1031
34,14,-0.65,2.25,11.4,199,1032
93,33,-0.61,2,11.4,248,1033
45,33,-0.61,2,11.4,248,1034
67,33,-0.61,2,11.4,248,1035
75,33,-0.61,2,11.4,248,1036
58,33,-0.61,2,11.4,248,1037
97,33,-0.61,2,11.4,248,1038
63,26,2.61,2.5,6.8,123,1039
31,26,2.61,2.5,6.8,123,1040
58,26,2.61,2.5,6.8,123,1041
37,26,2.61,2.5,6.8,123,1042
54,26,2.61,2.5,6.8,123,1043
30,26,2.61,2.5,6.8,123,1044
34,26,2.61,2.5,6.8,123,1045
51,26,2.61,2.5,6.8,123,1046
-6,10,-0.82,2.5,6.8,126,1047
28,10,-0.82,2.5,6.8,126,1048
43,10,-0.82,2.5,6.8,126,1049
14,10,-0.82,2.5,6.8,126,1050
48,10,-0.82,2.5,6.8,126,1051
28,10,-0.82,2.5,6.8,126,1052
83,8,-0.52,3,12.7,134,1060
92,8,-0.52,3,12.7,134,1061
97,8,-0.52,3,12.7,134,1062
125,8,-0.52,3,12.7,134,1063
58,22,-2.5,3,12.7,224,1064
44,22,-2.5,3,12.7,224,1065
42,22,-2.5,3,12.7,224,1066
63,22,-2.5,3,12.7,224,1067
74,22,-2.5,3,12.7,224,1068
72,18,0.12,1,12.7,282,1069
112,18,0.12,1,12.7,282,1070
109,18,1.55,1,12.7,306,1071
121,18,1.55,1,12.7,306,1072
95,18,1.55,1,12.7,306,1073
51,18,1.55,1,12.7,306,1074
43,10,-1.39,2,6.7,140,1075
51,10,-1.39,2,6.7,140,1076
35,2,0.12,2,6.7,144,1077
203,2,0.12,2,6.7,144,1078
5,2,0.12,2,6.7,144,1079
12,26,-0.72,2.17,10.7,185,1084
53,0,-0.72,2,10.7,237,1085
52,0,-0.72,2,10.7,237,1086
56,0,-0.72,2,10.7,237,1087
85,12,0.44,2.5,7.5,75,1088
108,12,0.44,2.5,7.5,75,1089
98,12,0.44,2.5,7.5,75,1090
16,12,0.44,2.5,7.5,75,1091
8,12,0.44,2.5,7.5,75,1092
80,12,0.44,2.5,7.5,75,1093
37,5,-1.35,2.5,8.5,221,1094
61,5,-1.35,2.5,8.5,221,1095
89,28,2.33,1.58,9.5,205,1096
72,28,2.33,1.58,9.5,205,1097
78,28,2.33,1.58,9.5,205,1098
45,28,2.33,1.58,9.5,205,1099
49,28,2.33,1.58,9.5,205,1100
20,28,2.33,1.58,9.5,205,1101
43,28,2.33,1.58,9.5,205,1102
14,28,2.33,1.58,9.5,205,1103
89,28,2.33,1.58,9.5,205,1104
24,17,-1.39,3.17,9.5,214,1105
114,14,0.59,1.17,9.5,236,1108
47,14,0.59,1.17,9.5,236,1109
10,4,-1.28,1.5,7.1,74,1115
58,25,-2.34,2.3,7.1,99,1116
41,13,-1.74,3.5,7.1,281,1124
86,13,-1.74,3.5,7.1,281,1125
35,13,-1.74,3.5,7.1,281,1126
69,13,-1.74,3.5,7.1,281,1127
13,4,-0.8,2.5,6.4,68,1128
49,4,-0.8,2.5,6.4,68,1129
87,4,-0.8,2.5,6.4,68,1130
0,4,-0.8,2.5,6.4,68,1131
91,2,0.73,2.75,6.4,138,1132
74,2,0.73,2.75,6.4,138,1133
69,2,0.73,2.75,6.4,138,1134
69,2,0.73,2.75,6.4,138,1135
88,2,0.73,2.75,6.4,138,1136
38,0,-1.28,2.5,6.4,215,1137
20,0,-1.28,2.5,6.4,215,1138
87,31,-1.7,3.75,6.4,273,1139
43,31,-1.7,3.75,6.4,273,1140
74,31,-1.7,3.75,6.4,273,1141
118,31,-1.7,3.75,6.4,273,1142
105,31,-1.7,3.75,6.4,273,1143
3,34,-1.28,2,12.6,44,1144
25,34,-1.28,2,12.6,44,1145
11,34,-1.28,2,12.6,44,1146
54,34,-1.28,2,12.6,44,1147
75,34,-1.28,2,12.6,44,1148
55,34,-1.28,2,12.6,44,1149
129,3,-1.25,1.83,12.6,241,1150
87,3,-1.25,1.83,12.6,241,1151
37,3,-1.25,1.83,12.6,241,1152
54,3,-1.25,1.83,12.6,241,1153
58,3,-1.25,1.83,12.6,241,1154
71,4,-1.79,4.5,7.6,37,1155
107,2,-0.55,4,7.6,193,1156
55,2,-0.55,4,7.6,193,1157
191,5,-0.3,2.25,7.6,247,1158
87,5,-0.3,2.25,7.6,247,1159
95,5,-0.3,2.25,7.6,247,1160
116,5,-0.3,2.25,7.6,247,1161
77,5,-0.3,2.25,7.6,247,1162
85,25,0.89,2,5.4,60,1163
51,25,0.89,2,5.4,60,1164
61,25,0.89,2,5.4,60,1165
138,36,1.04,3.75,5.4,129,1166
95,36,1.04,3.75,5.4,129,1167
96,36,1.04,3.75,5.4,129,1168
95,34,-1.57,3,9.9,33,1169
32,34,-1.57,3,9.9,33,1170
17,34,-1.57,3,9.9,33,1171
105,34,-1.57,3,9.9,33,1172
73,9,1.3,2.25,9.9,200,1173
51,9,1.3,2.25,9.9,200,1174
71,9,1.3,2.25,9.9,200,1175
70,9,1.3,2.25,9.9,200,1176
67,9,1.3,2.25,9.9,200,1177
33,9,1.3,2.25,9.9,200,1178
-4,6,-0.48,2.5,26.6,62,1179
23,6,-0.48,2.5,26.6,62,1180
38,12,1.45,2.67,17.7,96,1181
57,12,1.45,2.67,17.7,96,1182
30,12,1.45,2.67,17.7,96,1183
85,12,1.45,2.67,17.7,96,1184
56,12,1.45,2.67,17.7,96,1185
47,12,1.45,2.67,17.7,96,1186
19,12,1.45,2.67,17.7,96,1187
37,12,1.45,2.67,17.7,96,1188
44,25,0.5,2,17.7,239,1189
69,25,0.5,2,17.7,239,1190
